name,short_code,type,region,district,latitude,longitude,zone
Momella,105282-8,public,Arusha,Meru DC,-3.213285,36.861852,northern
2001 GEM PLUS,113310-7,private,Mwanza,Nyamagana MC,-2.56352,32.91265,lake
23KJ,108548-9,public,Kagera,Biharamulo DC,-2.63157,31.33744,lake
24KJ,110967-7,public,Kigoma,Kigoma Ujiji MC,-4.841438,29.643383,central
2D,124115-7,private,Mbeya,Mbeya DC,-8.94805,33.22692,shighland
361 KJ,111824-9,public,Dar Es Salaam,Kinondoni MC,,,coastal
3D,124953-1,private,Dar Es Salaam,Ilala MC,-6.90509,39.21507,coastal
3LN,124920-0,private,Dar Es Salaam,Ilala MC,-6.93857,39.13599,coastal
43KJ,124627-1,public,Ruvuma,Tunduru DC,-11.06869,37.34556,shighland
4REVERSHINE,121016-0,private,Dar Es Salaam,Ubungo MC,,,coastal
511KJ GONGO LA MBOTO,100019-9,public,Dar Es Salaam,Ilala MC,-6.88878,39.15133,coastal
512KJ,100020-7,public,Mwanza,Nyamagana MC,-2.58227,32.91911,lake
514KJ,100021-5,public,Njombe,Makambako TC,-8.83274,34.839154,shighland
692KJ-RADA,122733-9,public,Tabora,Tabora MC,,32.82896,central
821KJ,100542-0,public,Kigoma,Kigoma DC,-5.034967,29.789642,central
830KJKIBITI,121505-2,public,Pwani,Kibiti DC,-7.84931,38.97116,coastal
909 Dental Centre,110841-4,private,Dar Es Salaam,Ilala MC,-6.809073,39.27917,coastal
A AND A,100024-9,private,Mbeya,Mbarali DC,-8.67632,34.304,shighland
A TO Z,121333-9,private,Arusha,Arusha CC,-3.38333,36.59226,northern
A1 EYE SOLUTIONS,113180-4,private,Dar Es Salaam,Ubungo MC,-6.78826,39.10833,coastal
A2Z HEALTHCARE,112328-0,private,Kilimanjaro,Moshi MC,-3.35422,37.34398,northern
AABY-GILLAH,125036-4,private,Dar Es Salaam,Temeke MC,-6.16141,39.31971,coastal
Abbas Medical Centre,109828-4,private,Dar Es Salaam,Ilala MC,-6.81513,39.27406,coastal
ABBYS,112493-2,private,Katavi,Mpanda MC,-6.34429,31.07279,shighland
ABC,123785-8,private,Dar Es Salaam,Kinondoni MC,-6.76333,39.25668,coastal
ABDON MAABARA,123865-8,private,Morogoro,Mlimba DC,-8.10061,36.50966,coastal
ABDUELRAZAQ MOHAMED SALEH,112327-2,private,Kigoma,Kigoma Ujiji MC,-4.85826,29.65142,central
ABEL,122243-9,private,Mara,Tarime TC,-1.338827,34.37536,lake
ABEL,124875-6,private,Mara,Tarime TC,-1.33883,34.37539,lake
ABEMS,114519-2,private,Morogoro,Morogoro MC,-6.73021,37.647713,coastal
ABI,122920-2,private,Dar Es Salaam,Ilala MC,-6.91789,39.17616,coastal
ABIGA,113780-1,private,Mwanza,Misungwi DC,-2.83797,33.0891,lake
ABIKO,123301-4,private,Tanga,Tanga CC,-5.12439,39.05696,coastal
ABILINDA,123833-6,private,Pwani,Mkuranga DC,-6.98318,39.30021,coastal
ABM,113248-9,private,Dar Es Salaam,Ubungo MC,,,coastal
ABM Mwasonga Laboratory,122112-6,private,Dar Es Salaam,Kigamboni MC,,,coastal
ABUU ASMAA,124110-8,private,Dodoma,Dodoma CC,-6.04849,35.62433,central
ACCESS MEDICAL & DIAGNOSTIC,112702-6,private,Dar Es Salaam,Ilala MC,-6.80312,39.27877,coastal
ACDK,111629-2,private,Manyara,Kiteto DC,-5.32693,36.5677,northern
ACLANE,113997-1,private,Morogoro,Mlimba DC,-8.77998,35.81071,coastal
ACLANE USALAMA,123668-6,private,Morogoro,Mlimba DC,-8.76035,35.82938,coastal
ACN,124109-0,private,Morogoro,Mvomero DC,-6.13746,37.63842,coastal
ADE MEDICAL LABORATORY,120658-0,private,Kilimanjaro,Moshi DC,,,northern
ADEFA OPTICAL CENTRE,112995-6,private,Mtwara,Mtwara MC,-10.27169,40.18213,southern
ADELGUNDA,122019-3,private,Mbeya,Mbarali DC,,34.311497,shighland
Aden,123652-0,private,Tabora,Tabora MC,,,central
ADMO,120571-5,private,Dar Es Salaam,Ilala MC,-6.81724,39.26523,coastal
ADN CARE,123643-9,private,Arusha,Arusha CC,-3.37589,36.70298,northern
ADO,122799-0,private,Mbeya,Kyela DC,,,shighland
ADON,113178-8,private,Shinyanga,Kahama MC,-3.80252,32.60134,lake
ADONAI,113095-4,private,Ruvuma,Nyasa DC,-11.28934,34.80098,shighland
ADONAI,114082-1,private,Mwanza,Ilemela MC,-2.50454,32.92468,lake
ADONAI,121471-7,private,Manyara,Mbulu TC,-3.85521,35.54817,northern
ADONAI,122135-7,private,Mbeya,Mbeya CC,,,shighland
ADONAI,122870-9,private,Mbeya,Chunya DC,,,shighland
ADONIRAM,114781-8,private,Kagera,Ngara DC,-2.50993,30.65352,lake
ADRIKALO,111902-3,private,Dar Es Salaam,Ilala MC,-6.80516,39.27842,coastal
ADVANCE DENTAL & IMPLANT CENTER,124383-1,private,Dar Es Salaam,Kinondoni MC,-6.76724,39.28339,coastal
ADVERT,112008-8,private,Katavi,Mpanda MC,-6.34682,31.07613,shighland
AEROSPACE,120282-9,private,Dar Es Salaam,Ilala MC,,,coastal
AFANA EYE CARE,110995-8,private,Mbeya,Mbeya CC,-8.89592,33.44146,shighland
AFK,122364-3,private,Dar Es Salaam,Ubungo MC,-6.45062,39.05535,coastal
AFRANA,123647-0,private,Tabora,Nzega DC,,,central
AFRANN,113203-4,private,Tabora,Nzega DC,-4.03072,33.13375,central
Afranna,122257-9,private,Tabora,Nzega DC,,,central
AFRI SALASALA,114318-9,private,Dar Es Salaam,Kinondoni MC,-6.70152,39.19769,coastal
AFRICA AMINI,121320-6,private,Arusha,Meru DC,-3.21182,36.85576,northern
AFRICA HEALTHCARE NETWORK HEALTH CENTER,123798-1,private,Dar Es Salaam,Kinondoni MC,,,coastal
AFRICANA,112096-3,private,Dar Es Salaam,Temeke MC,-6.86653,39.27168,coastal
AFRITURKIYE,123732-0,private,Dar Es Salaam,Kinondoni MC,-6.77559,39.24407,coastal
Afya,122313-0,private,Mbeya,Mbeya CC,,33.471954,shighland
Afya,123665-2,private,Morogoro,Morogoro MC,,,coastal
AFYA,100035-5,private,Katavi,Mpanda MC,-6.34013,31.06891,shighland
AFYA BORA,121185-3,private,Dar Es Salaam,Kinondoni MC,-6.77631,39.26013,coastal
AFYA CARE,113460-0,private,Dar Es Salaam,Ilala MC,,,coastal
AFYA CARE,122139-9,private,Mbeya,Mbeya CC,,33.46226,shighland
AFYA CARE CHARITABLE,100039-7,private,Dar Es Salaam,Ilala MC,-6.827736,39.19782,coastal
AFYA CARE CHARITABLE,111888-4,private,Dar Es Salaam,Ubungo MC,-6.79672,39.12846,coastal
AFYA CARE SINZA,110612-9,private,Dar Es Salaam,Ubungo MC,-6.78639,39.22538,coastal
AFYA CHECK,114234-8,private,Dodoma,Dodoma CC,-6.16277,35.74578,central
AFYA HEALTHCARE,124333-6,private,Mwanza,Nyamagana MC,-2.53704,32.90763,lake
AFYA JAMII,124435-9,private,Dar Es Salaam,Ilala MC,-6.81827,39.21953,coastal
AFYA JAMII,122576-2,private,Dar Es Salaam,Ilala MC,-6.90825,39.17826,coastal
AFYA JAMII MSONGOLA,122902-0,private,Dar Es Salaam,Ilala MC,-6.97879,39.18595,coastal
AFYA KWANZA,121204-2,private,Mwanza,Ilemela MC,-2.50484,32.93147,lake
AFYA KWANZA,113084-8,private,Ruvuma,Songea MC,,,shighland
AFYA MAX,111552-6,private,Arusha,Arusha CC,-3.365947,36.675616,northern
AFYA MAX,120915-4,private,Arusha,Arusha CC,,,northern
AFYA MEDICAL CARE LABORATORY,121423-8,private,Pwani,Mkuranga DC,-7.009281,39.314161,coastal
AFYA MEDICARE,111873-6,private,Njombe,Makambako TC,-8.84159,34.83342,shighland
AFYA NJEMA,124103-3,private,Geita,Chato DC,-3.03038,31.76134,lake
AFYA PLAZA,123747-8,private,Morogoro,Kilosa DC,-6.82792,36.98862,coastal
AFYA YETU,113078-0,private,Ruvuma,Songea MC,,,shighland
AFYA ZONE,123699-1,private,Dodoma,Dodoma CC,-6.13771,35.82649,central
AfyaBora,122767-7,private,Dar Es Salaam,Ilala MC,,,coastal
AFYACHECK,112054-2,private,Mbeya,Mbeya CC,-8.91691,33.46545,shighland
AFYACHECK,121017-8,private,Mbeya,Mbeya CC,,33.46541,shighland
AFYACHECK,123300-6,private,Kilimanjaro,Hai DC,-3.19887,37.23325,northern
AFYAPLUS,123302-2,private,Tanga,Korogwe TC,-5.08272,38.41921,coastal
AFYARISE,124406-0,private,Arusha,Arusha CC,-6.45679,38.21149,northern
Afyatime,112141-7,private,Dar Es Salaam,Ilala MC,-6.82666,39.26424,coastal
AGA KHAN,113429-5,private,Kagera,Bukoba MC,-1.33075,31.81224,lake
AGA KHAN,112974-1,private,Tabora,Tabora MC,-5.01862,32.81113,central
AGA KHAN,100046-2,private,Dodoma,Dodoma CC,-6.18001,35.74636,central
AGA KHAN,108577-8,private,Arusha,Arusha CC,-3.37077,36.68944,northern
AGA KHAN,100045-4,private,Iringa,Iringa MC,-7.78328,35.69643,shighland
AGA KHAN,100044-7,private,Morogoro,Morogoro MC,-6.82926,37.66494,coastal
AGA KHAN,100047-0,private,Dar Es Salaam,Ilala MC,-6.84264,39.18546,coastal
AGA KHAN,111532-8,private,Dar Es Salaam,Kinondoni MC,-6.74966,39.24036,coastal
AGA KHAN,110621-0,private,Dar Es Salaam,Kinondoni MC,-6.72554,39.21402,coastal
AGA KHAN,113635-7,private,Mara,Bunda TC,-2.02327,33.87325,lake
AGA KHAN,111907-2,private,Dar Es Salaam,Kigamboni MC,-6.87673,39.34119,coastal
AGA KHAN,112162-3,private,Shinyanga,Kahama MC,-3.82464,32.59013,lake
AGA KHAN,110808-3,private,Dar Es Salaam,Ilala MC,-6.81974,39.28424,coastal
AGA KHAN,100053-8,private,Mbeya,Mbeya CC,-8.89312,33.44157,shighland
AGA KHAN,120416-3,private,Dar Es Salaam,Ilala MC,-6.82893,39.28424,coastal
AGA KHAN,120417-1,private,Dar Es Salaam,Ilala MC,-6.93022,39.21839,coastal
AGA KHAN,123471-5,private,Arusha,Arusha CC,-3.37077,36.68944,northern
AGA KHAN KIBAHA,114837-8,private,Pwani,Kibaha TC,-6.75287,38.93428,coastal
AGA KHAN MASAKI,120284-5,private,Dar Es Salaam,Kinondoni MC,-6.7468,39.27632,coastal
AGA KHAN MEDICAL MASAKI,111928-8,private,Dar Es Salaam,Kinondoni MC,,,coastal
AGA KHAN SINZA,114463-3,private,Dar Es Salaam,Ubungo MC,-6.788601,39.218807,coastal
AGA KHAN UKONGA,112229-0,private,Dar Es Salaam,Ilala MC,-6.86637,39.19892,coastal
AGA KHAN YOMBO VITUKA,114022-7,private,Dar Es Salaam,Temeke MC,-6.89173,39.22363,coastal
AGA SON,124424-3,private,Pwani,Mkuranga DC,-7.01658,39.30324,coastal
AGANYIRA,121234-9,private,Dar Es Salaam,Ilala MC,,,coastal
AGAPE,112674-7,private,Morogoro,Morogoro MC,-6.81366,37.66942,coastal
AGAPE,100050-4,private,Lindi,Liwale DC,-9.802,37.93013,southern
AGAPE,123852-6,private,Mara,Musoma MC,-1.53488,33.78663,lake
AGAPE,113082-2,private,Ruvuma,Songea MC,,,shighland
AGAPE,113321-4,private,Mwanza,Ilemela MC,-2.49175,32.49175,lake
AGAPE,111982-5,private,Arusha,Arusha CC,-3.396758,36.658008,northern
AGAPE,111570-8,private,Pwani,Kisarawe DC,-6.80108,39.02182,coastal
AGAPE,112276-1,private,Arusha,Karatu DC,-3.32022,35.40452,northern
AGAPE HEALTH  SERVICES,122671-1,private,Mbeya,Kyela DC,-9.62376,33.87758,shighland
AGAPE HEALTH LABORATORY,122628-1,private,Dodoma,Chemba DC,-5.18113,36.29479,central
AGHAKI,111833-0,private,Iringa,Mufindi DC,,,shighland
AGHANKIKO,121258-8,private,Dar Es Salaam,Kinondoni MC,,,coastal
AGKI,121409-7,private,Pwani,Kibaha DC,-6.7834034,38.859116,coastal
AGM,112683-8,private,Dar Es Salaam,Temeke MC,-6.86391,39.26955,coastal
AGUSTINO,121052-5,private,Shinyanga,Kahama MC,-3.83125,32.62121,lake
AHMADIYYA,100056-1,private,Morogoro,Morogoro MC,-6.82734,37.66318,coastal
AHN DAREDA,124480-5,private,Manyara,Babati DC,-4.24021,35.49297,northern
AHP HEALTHCARE MBAGALA,120745-5,private,Dar Es Salaam,Temeke MC,,,coastal
Ahsante,121172-1,private,Manyara,Kiteto DC,-5.31297,36.56237,northern
AIC BWERI,100058-7,private,Mara,Musoma MC,-1.53519,33.84328,lake
AICC,109601-5,public,Arusha,Arusha CC,-3.37481,36.69946,northern
AICHO,122511-9,public,Manyara,Mbulu TC,-3.70513,35.53367,northern
AICT BUNDA,100061-1,private,Mara,Bunda TC,-2.01881,33.872,lake
AICT IGAGANULWA,101046-1,private,Simiyu,Bariadi DC,-2.517561,33.971206,lake
AICT MAGAMBUA,103903-1,private,Dodoma,Chemba DC,-5.16193,35.29838,central
AICT MUSOMA,100059-5,private,Mara,Musoma MC,-1.51269,33.80245,lake
AIRMED ADVANCED FERTILITY CENTRE,120909-7,private,Dar Es Salaam,Kinondoni MC,-6.75076,39.28094,coastal
AIRPORT M6,113443-6,private,Dar Es Salaam,Ilala MC,-6.85836,39.20401,coastal
AIRPORT POLICE,100069-4,public,Dar Es Salaam,Ilala MC,-6.87122,39.20314,coastal
AIRPORT TANZANIA,110667-3,public,Dar Es Salaam,Ilala MC,-6.862977,39.206299,coastal
AIRWING 603 ATS,100070-2,public,Dar Es Salaam,Ilala MC,-6.868095,39.19808,coastal
AISON,123716-3,private,Dar Es Salaam,Ubungo MC,-6.74024,39.16528,coastal
AIZAR,122685-1,private,Dar Es Salaam,Ilala MC,-6.48535,39.17115,coastal
AJ,123578-7,private,Dar Es Salaam,Kinondoni MC,-6.76234,39.23195,coastal
AJIM,122057-3,private,Dar Es Salaam,Temeke MC,-6.89288,39.23547,coastal
AK,124379-9,private,Dar Es Salaam,Ubungo MC,-6.70882,39.16963,coastal
AKIM DENTAL SERVICES,100072-8,private,Dar Es Salaam,Ilala MC,-6.81857,39.28699,coastal
AL - AMAL,100079-3,private,Iringa,Iringa MC,-7.77564,35.70213,shighland
AL ABBAS DENTAL,114349-4,private,Kagera,Bukoba MC,-1.32539,31.81136,lake
AL JAZEERA,125067-9,private,Morogoro,Morogoro MC,-6.79165,37.75534,coastal
AL JUMAA,100086-8,private,Dar Es Salaam,Ilala MC,-6.818188,39.275753,coastal
Al Karimu,100078-5,private,Dar Es Salaam,Ilala MC,-6.840399,39.237449,coastal
AL KIPONZA,120589-7,private,Dar Es Salaam,Temeke MC,-6.97628,39.21686,coastal
AL-EHSAA,100082-7,private,Kilimanjaro,Moshi MC,-3.36883,37.34578,northern
AL-IJUMAA,100085-0,private,Mwanza,Nyamagana MC,-2.520509,32.902825,lake
AL-MANSOOR,112065-8,private,Singida,Singida DC,-4.63479,34.65291,central
AL-MOHLEM,100092-6,private,Tanga,Tanga CC,-5.08303,39.11682,coastal
AL-RAHMAH,121819-7,private,Pwani,Mkuranga DC,-7.12159,39.17275,coastal
AL-SHIFA,112346-2,private,Dar Es Salaam,Kinondoni MC,-6.76203,39.25064,coastal
AL-TABIBU,112983-2,private,Mtwara,Mtwara MC,-10.36506,40.16107,southern
ALABAMA,124250-2,public,Morogoro,Malinyi DC,-8.64884,36.40456,coastal
ALAILELAI,111227-5,public,Arusha,Ngorongoro DC,-2.95672,35.69837,northern
ALAMANO,100080-1,private,Iringa,Iringa MC,-7.77281,35.70111,shighland
ALARA,110613-7,private,Dar Es Salaam,Kigamboni MC,-6.92845,39.26354,coastal
ALBINA,120570-7,private,Kilimanjaro,Moshi MC,-3.3440361,37.3406468,northern
ALBU SAID HEALTH,120875-0,private,Dar Es Salaam,Kinondoni MC,-6.81914,39.24596,coastal
ALEGA,122661-2,private,Geita,Geita TC,-2.91492,32.24505,lake
ALEP,112947-7,private,Kilimanjaro,Moshi DC,-3.40753,37.36253,northern
ALEPH,122562-2,private,Dar Es Salaam,Kinondoni MC,-6.65782,39.23947,coastal
ALEX,121973-2,private,Dar Es Salaam,Ubungo MC,,,coastal
ALEXIA,110629-3,private,Dar Es Salaam,Temeke MC,-6.94335,39.30899,coastal
ALFA,113555-7,private,Katavi,Mpanda MC,-6.3442,31.07046,shighland
ALFA,111435-4,private,Dar Es Salaam,Ilala MC,-6.79789,39.27839,coastal
ALFA,123815-3,private,Dar Es Salaam,Kinondoni MC,-6.16245,39.46278,coastal
ALFA,123958-1,private,Geita,Geita DC,-2.81039,32.03877,lake
ALFA AND OMEGA,121351-1,private,Dar Es Salaam,Ubungo MC,,,coastal
ALFA-PROLIFE,111703-5,private,Morogoro,Morogoro MC,-6.796398,37.676988,coastal
ALFADENT,122552-3,private,Dar Es Salaam,Kinondoni MC,,,coastal
ALFIRDAUS,114441-9,private,Kigoma,Kigoma Ujiji MC,-4.907127,29.66985,central
ALHAS,122563-0,private,Dar Es Salaam,Kinondoni MC,-6.56123,39.71536,coastal
ALIMAUA,121417-0,public,Dar Es Salaam,Kinondoni MC,-6.47099,39.24203,coastal
ALINDA,113047-5,private,Kagera,Bukoba MC,-1.32175,31.793918,lake
ALIRA,112626-7,private,Dar Es Salaam,Ilala MC,-6.8092,39.28655,coastal
ALISHIA,122217-3,private,Arusha,Meru DC,,,northern
ALISIA,121037-6,private,Shinyanga,Kishapu DC,-3.61968,33.8076,lake
ALJAMIH,110303-5,private,Morogoro,Morogoro MC,-6.80408,37.66922,coastal
ALKARIA,100087-6,public,Arusha,Monduli DC,-3.32432,36.30118,northern
ALL SMILES,111900-7,private,Dar Es Salaam,Ilala MC,-6.81161,39.28679,coastal
ALLAMANO MAKIUNGU,104105-2,private,Singida,Ikungi DC,-4.96856,34.85934,central
ALLCARE HEALTH,125139-6,private,Mara,Musoma MC,-1.49747,33.80788,lake
ALLIANCE,123624-9,private,Pwani,Bagamoyo DC,-6.76758,35.06836,coastal
ALLIANCE ONE,100090-0,private,Morogoro,Morogoro DC,-6.77842,37.76137,coastal
ALPHA,100093-4,private,Mara,Tarime DC,-1.25212,34.4751,lake
ALPHA,114233-0,private,Dodoma,Dodoma CC,,,central
ALPHA,112826-3,private,Geita,Geita TC,-2.87762,32.26384,lake
ALPHA,113307-3,private,Mwanza,Ilemela MC,-2.49398,32.91263,lake
ALPHA,112651-5,private,Morogoro,Morogoro MC,-6.786597,37.659471,coastal
ALPHA,112337-1,private,Iringa,Kilolo DC,-7.46623,36.50618,shighland
Alpha,121712-4,private,Morogoro,Morogoro DC,,,coastal
ALPHA,122219-9,private,Manyara,Babati TC,-3.66011,35.84213,northern
ALPHA,123702-3,private,Dodoma,Dodoma CC,-6.16831,35.73403,central
ALPHA and OMEGA,122065-6,private,Dar Es Salaam,Ilala MC,,,coastal
ALPHA CARE,120372-8,private,Dodoma,Dodoma CC,-6.38971,35.74487,central
ALSA MEDICARE,123657-9,private,Pwani,Bagamoyo DC,-6.58373,39.03821,coastal
ALSHEIKH,109507-4,private,Iringa,Kilolo DC,,,shighland
ALTO,123519-1,private,Ruvuma,Mbinga DC,-10.67607,35.13291,shighland
ALTO,121474-1,private,Njombe,Njombe TC,-9.33751,37.76852,shighland
ALTUS MEDICAL CARE,123739-5,private,Dar Es Salaam,Kigamboni MC,-6.86661,39.37137,coastal
ALUTA CLINICA,120615-0,private,Dodoma,Dodoma CC,,,central
ALVES,122983-0,private,Dar Es Salaam,Temeke MC,-6.00081,38.90907,coastal
ALVES,122230-6,private,Manyara,Babati TC,,,northern
ALWIDAD,123233-9,private,Tanga,Tanga CC,-5.73665,38.58326,coastal
ALYSSA HEALTH LABORATORY,121948-4,private,Kagera,Bukoba MC,-1.33804,31.80776,lake
AM,123845-0,private,Dar Es Salaam,Ilala MC,-6.90657,39.14254,coastal
AMAGAMBO NI BHUKE BHUKE MEDICAL,124437-5,private,Rukwa,Kalambo DC,-8.14414,31.43413,shighland
AMAN,114461-7,private,Tabora,Urambo DC,-5.207059,32.082485,central
AMAN,123465-7,private,Mwanza,Ilemela MC,-2.90484,33.76147,lake
AMANA EYE CENTRE,112749-7,private,Dar Es Salaam,Ilala MC,-6.82798,39.25867,coastal
AMANDA,113064-0,private,Njombe,Njombe TC,-9.37339,34.80482,shighland
Amanda,122809-7,private,Ruvuma,Madaba DC,,,shighland
AMANI,100108-0,private,Dodoma,Dodoma CC,-6.16039,35.76065,central
AMANI,100109-8,private,Manyara,Babati TC,-4.20857,35.75193,northern
AMANI,114470-8,private,Mwanza,Ilemela MC,-2.52967,32.96195,lake
AMANI,102572-5,public,Dar Es Salaam,Ubungo MC,-6.80665,39.07537,coastal
AMANI,114689-3,private,Morogoro,Morogoro MC,-6.79604,37.65021,coastal
Amani,121374-3,private,Pwani,Kibaha TC,-6.77012,39.01594,coastal
AMANI,122114-2,private,Simiyu,Bariadi TC,,,lake
Amani,122255-3,private,Tabora,Nzega TC,-4.2212,33.1857,central
AMANI,122841-0,private,Dar Es Salaam,Ubungo MC,,,coastal
AMANI,123736-1,private,Dar Es Salaam,Ilala MC,-6.80097,39.27453,coastal
AMANI,120292-8,private,Mara,Bunda TC,-2.01451,33.86136,lake
AMANI,113069-9,private,Ruvuma,Songea MC,,,shighland
AMANI,100107-2,public,Tanga,Muheza DC,-5.10012,38.63348,coastal
AMANI,111694-6,public,Tanga,Handeni DC,-5.71533,38.23912,coastal
AMANI,113304-0,private,Pwani,Kibaha TC,-6.74867,38.90404,coastal
AMANI,111948-6,private,Mtwara,Tandahimba DC,-10.76401,39.64431,southern
Amani,100100-7,public,Njombe,Ludewa DC,-9.94648,34.89538,shighland
AMANI,113390-9,private,Mwanza,Ilemela MC,-2.48335,32.90711,lake
AMANI,100105-6,public,Ruvuma,Namtumbo DC,-11.47111,36.65333,shighland
AMANI,100106-4,public,Ruvuma,Tunduru DC,-11.21349,37.45284,shighland
AMANI,114696-8,public,Mtwara,Newala TC,-10.98106,39.39657,southern
AMANI,108988-7,private,Tanga,Handeni TC,-5.42361,38.02162,coastal
AMANI,100111-4,private,Mwanza,Nyamagana MC,-2.54768,32.97922,lake
Amani,121427-9,private,Kagera,Bukoba DC,-1.45828,31.75201,lake
Amani,121795-9,private,Singida,Singida MC,,,central
AMANI,122537-4,private,Kilimanjaro,Moshi DC,-3.40138,37.52521,northern
AMANI,125219-6,private,Arusha,Karatu DC,-3.34658,35.67261,northern
AMANI,124531-5,private,Dar Es Salaam,Kinondoni MC,-6.19327,39.82046,coastal
AMANI GE,111966-8,private,Arusha,Arusha CC,-3.36825,36.68539,northern
AMANI INTERNATIONAL OPTICAL CENTRE,114211-6,private,Njombe,Njombe TC,,,shighland
AMANI MAKOLO,100112-2,public,Ruvuma,Mbinga DC,-10.674759,35.135415,shighland
AMANI MEDICS,112221-7,private,Dodoma,Dodoma CC,-6.15357,35.73833,central
AMANI RD,120530-1,private,Dar Es Salaam,Ubungo MC,,,coastal
AMANI SEIF MEMORIAL,111908-0,private,Dar Es Salaam,Ilala MC,-7.033906,39.070953,coastal
AMANICHIRORO,122165-4,public,Mtwara,Masasi DC,-10.79424,38.62296,southern
AMANIKA,125146-1,private,Arusha,Meru DC,-3.55471,36.91304,northern
AMANIRAU,124038-1,private,Kilimanjaro,Moshi MC,-3.19222,37.20597,northern
AMANUA,124335-1,private,Dar Es Salaam,Temeke MC,-6.00123,29.00234,coastal
AMAROUNA,122596-0,private,Pwani,Bagamoyo DC,-6.44439,38.90461,coastal
Amati,122246-2,private,Tanga,Tanga CC,-5.09048,39.12449,coastal
AMAZING GRACE HEALTH,123879-9,private,Morogoro,Morogoro MC,-6.04305,37.03857,coastal
AMBRENI,112097-1,public,Arusha,Meru DC,-3.36819,36.75618,northern
AMCARE MEDICAL,125129-7,private,Dar Es Salaam,Kigamboni MC,-6.86493,39.32828,coastal
AMEC,107961-5,private,Tabora,Sikonge DC,-5.48138,32.6768,central
AMECK,115078-8,private,Kilimanjaro,Moshi DC,-3.279712,37.581608,northern
AMEDCARE,124573-7,private,Arusha,Meru DC,-3.36917,36.88142,northern
AMEKI,111640-9,private,Mbeya,Kyela DC,-9.60517,33.85842,shighland
AMEN,112037-7,private,Manyara,Babati TC,-4.2082,35.74563,northern
AMEN,113184-6,private,Tabora,Tabora MC,-5.02836,32.80176,central
AMEN,113333-9,private,Mwanza,Ilemela MC,-2.53197,32.94011,lake
AMEN,111681-3,private,Kagera,Ngara DC,-2.51155,30.6538,lake
AMENAH'S,124027-4,private,Arusha,Arusha CC,-3.37603,36.66193,northern
AMENI,100120-5,private,Mbeya,Kyela DC,-9.59996,33.86665,shighland
AMENI,100121-3,private,Dar Es Salaam,Ubungo MC,-6.78339,39.22297,coastal
AMENYE,124956-4,private,Mbeya,Mbeya CC,-8.92561,33.45851,shighland
AMERICAN,122897-2,private,Dar Es Salaam,Kinondoni MC,-6.77059,39.27378,coastal
AMIGO,113194-5,private,Tabora,Urambo DC,-5.06947,32.07248,central
AMIGO,120720-8,private,Dar Es Salaam,Ubungo MC,,,coastal
AMINA,114225-6,private,Singida,Iramba DC,,,central
AMINA,111942-9,private,Tanga,Tanga CC,-5.09369,39.0977,coastal
AMIR,122995-4,private,Lindi,Liwale DC,-9.80757,37.92237,southern
AMO,124892-1,private,Tabora,Tabora MC,-5.03545,32.80188,central
AMODO MORDEN,114310-6,private,Dar Es Salaam,Ilala MC,,,coastal
AMOREK HEALTH CLINIC,121231-5,private,Kagera,Muleba DC,-1.60168,31.72182,lake
AMRED,120575-6,private,Dar Es Salaam,Kinondoni MC,,,coastal
AMREF HEALTH AFRICA,113403-0,private,Dar Es Salaam,Ilala MC,-6.80899,39.28654,coastal
AMRI,121267-9,private,Singida,Singida MC,-4.80951,34.7376,central
Amsterdam,107732-0,private,Tanga,Tanga CC,-5.088497,39.110085,coastal
AMUCTA,109829-2,private,Tabora,Tabora MC,-5.02433,32.81594,central
ANDREW,123868-2,private,Dar Es Salaam,Ubungo MC,-6.51102,39.52015,coastal
ANE AFYA CARE,110610-3,private,Dar Es Salaam,Ilala MC,-6.863498,39.167459,coastal
ANGALIA,121179-6,public,Ruvuma,Tunduru DC,-11.31341,37.38501,shighland
ANGAZA,112967-5,private,Lindi,Nachingwea DC,-10.36904,38.76445,southern
ANGAZA,123513-4,private,Dar Es Salaam,Temeke MC,-6.01234,39.00234,coastal
ANGAZA VCT,111292-9,public,Ruvuma,Songea MC,-10.67188,35.64617,shighland
ANGELISTA,124907-7,private,Arusha,Arusha DC,-3.44149,36.73905,northern
ANGEL`S,114418-7,private,Pwani,Kisarawe DC,-7.272215,38.768936,coastal
ANGESCENCIA,124385-6,private,Arusha,Arusha DC,-3.33867,36.69987,northern
ANIRA,124096-9,private,Morogoro,Mvomero DC,-6.91982,37.42873,coastal
ANIVONA,114753-7,private,Pwani,Kibaha TC,-6.72633,38.87484,coastal
ANKO J(MICO),113485-7,private,Dar Es Salaam,Kinondoni MC,-6.79686,39.2482,coastal
ANNABEL MUGOMA,114784-2,public,Kagera,Ngara DC,-2.53516,30.61664,lake
ANNE,100133-8,private,Mbeya,Kyela DC,-9.483319,33.8795,shighland
ANNE HILLARY,120721-6,private,Pwani,Chalinze DC,-6.331885,38.390144,coastal
ANNE KIILU,100134-6,public,Kilimanjaro,Moshi DC,-3.31783,37.41059,northern
ANNOINTING MEDICAL,122847-7,private,Arusha,Arusha CC,-3.40767,36.67525,northern
ANSA,110515-4,private,Dar Es Salaam,Temeke MC,-6.97732,39.21285,coastal
ANTONIA,122832-9,private,Mtwara,Newala TC,-10.95185,39.27407,southern
ANTONIA VERNA,122314-8,private,Dar Es Salaam,Kinondoni MC,-6.69268,39.16328,coastal
