name,short_code,type,region,district,latitude,longitude,zone
KANING'OMBE,102330-8,private,Iringa,Iringa DC,-7.91847,35.47658,shighland
Kanisa La Mungu,123914-4,private,Tabora,Kaliua DC,,,central
KANISA LA MUNGU (KLM),102332-4,private,Dar Es Salaam,Ilala MC,-6.82138,39.21319,coastal
KANKOKORO,123333-7,public,Kilimanjaro,Same DC,-4.46977,38.07422,northern
KANKWALE,102335-7,public,Rukwa,Sumbawanga MC,-7.8984,31.59168,shighland
KANOGE,102336-5,public,Tabora,Kaliua DC,-4.79369,32.33266,central
KANOGE,113373-5,public,Katavi,Mlele DC,-6.69811,31.99061,shighland
KANOGE,102337-3,public,Katavi,Nsimbo DC,-6.16843,31.1212,shighland
KANOGE 1,115029-1,public,Katavi,Nsimbo DC,-6.42397,31.23509,shighland
KANONDO,102338-1,public,Rukwa,Sumbawanga MC,-7.91286,31.5697,shighland
KANONI,108913-5,public,Kagera,Karagwe DC,-1.35581,31.03124,lake
KANSAY,102340-7,private,Arusha,Karatu DC,-3.66907,35.59363,northern
KANTALEMWA,102341-5,public,Rukwa,Kalambo DC,-8.83154,31.6404,shighland
KANTAWA,115171-1,public,Rukwa,Nkasi DC,-7.75048,31.35773,shighland
KANUDA  MEDICAL  CARE POLYCLINIC,120393-4,private,Mtwara,Mtwara MC,,,southern
KANUMBA,122103-5,private,Simiyu,Bariadi TC,-2.80831,33.99129,lake
KANYAMA,108684-2,public,Mwanza,Magu DC,-2.56932,33.02935,lake
KANYELELE,102342-3,public,Mbeya,Busokelo DC,-9.26227,33.7671,shighland
KANYELELE,121746-2,public,Mwanza,Sengerema DC,-2.68936,32.47444,lake
KANYENJA,113819-7,public,Morogoro,Ifakara TC,,,coastal
KANYENYE,102344-9,public,Tabora,Uyui DC,-4.81548,32.88202,central
KANYERERE,102343-1,public,Mwanza,Misungwi DC,-2.66868,33.09776,lake
KANYEZI,102345-6,public,Rukwa,Kalambo DC,-8.66089,31.86467,shighland
KANYIGO,102346-4,public,Kagera,Missenyi DC,-1.07691,31.74676,lake
KANYIGO,121789-2,public,Kagera,Missenyi DC,-1.51111,31.44811,lake
KANYIMBI,102347-2,public,Mtwara,Masasi DC,,,southern
KANYINDO,123995-3,public,Geita,Chato DC,-2.95005,31.54196,lake
Kanyinya,102348-0,public,Kagera,Ngara DC,-2.6206,30.63536,lake
KANYONGA,121021-0,private,Tabora,Uyui DC,-5.11705,33.112,central
KANYONZA,102349-8,public,Kigoma,Kakonko DC,-3.24181,31.00056,central
KAOLE,102352-2,public,Pwani,Bagamoyo DC,-6.46135,38.93841,coastal
KAONGA,112174-8,public,Songwe,Momba DC,-8.68779,32.37329,shighland
KAOZE,102353-0,public,Rukwa,Sumbawanga DC,-8.45989,32.15831,shighland
KAPALALA,115031-7,public,Katavi,Nsimbo DC,-6.41494,31.16124,shighland
KAPALALA,109171-9,public,Songwe,Songwe DC,-8.065178,32.684799,shighland
Kapalamsenga,102355-5,public,Katavi,Tanganyika DC,-6.81406,30.49082,shighland
KAPAMISYA,102356-3,public,Mbeya,Kyela DC,-9.53283,33.82014,shighland
KAPANDA,102357-1,public,Katavi,Nsimbo DC,-6.48943,31.07813,shighland
KAPANGA,122263-7,public,Katavi,Tanganyika DC,-6.32127,30.70968,shighland
KAPARAMSENGA,102358-9,public,Kigoma,Uvinza DC,-5.803808,29.955492,central
KAPELA MEDICAL,123677-7,private,Geita,Bukombe DC,-3.47421,31.90101,lake
KAPELE,102359-7,public,Rukwa,Kalambo DC,-8.57806,31.17511,shighland
KAPELE,108865-7,public,Songwe,Momba DC,-9.068834,32.182498,shighland
KAPELE,120313-2,public,Songwe,Momba DC,,,shighland
